LITm,LITs,MICr,MICk,SOMp,SOMc,SOMa,MIMSOC,MIMLIT,MIMMIC,MIC_ratio
0.09904951628235878,0.5468024533173568,0.020761743925290933,0.0439391135140104,2.2826686752043575,0.3222109477533838,0.20085122661213003,3.516283676608888,0.6458519695997156,0.06470085743930133,0.472511670465788
0.07565143978136794,0.44008537920553087,0.0194839315394541,0.0387942270882306,2.305903286265945,0.25905974807423393,0.19346524718432714,3.3324432591390893,0.5157368189868988,0.05827815862768469,0.5022379101700196
0.07334365915831763,0.4352235611526237,0.021134922697060052,0.040999542310397756,2.5757857323952007,0.25601139484634333,0.252861913565813,3.655360726125756,0.5085672203109413,0.06213446500745781,0.5154916739570553
0.08823659218748447,0.5192552378578098,0.021593736436833964,0.041975645270826006,2.6185381890517356,0.30527043075269683,0.40968768488725954,4.004557516444646,0.6074918300452943,0.06356938170765997,0.514434889505846
0.073386595612872,0.40932035424794866,0.025012872479026383,0.05294178905630309,2.761603946808507,0.24135385065407675,0.11364424005126277,3.677263648909997,0.48270694986082063,0.07795466153532947,0.47245990218474543
0.0843287111393898,0.4679991066370071,0.024719619689950293,0.052351845972825974,2.728458590666155,0.27588610286977533,0.13906905252850163,3.772813029503605,0.552327817776397,0.07707146566277627,0.47218238880786345
0.0648731927049049,0.36332274327035635,0.02334455306939052,0.049421705110407534,2.5785179772798923,0.21428535575270324,0.11394849016704536,3.4077140173547003,0.42819593597526123,0.07276625817979805,0.47235426250954016
0.15214361092223674,0.8280893388905857,0.02981911687077232,0.06306104565410947,3.2753441395531917,0.4869988999801017,0.2847008506106722,5.12015700248167,0.9802329498128224,0.09288016252488179,0.47286112308271105
0.23655295759652162,1.2676075068101575,0.03075123438181754,0.0650940294462296,3.365456695419074,0.7421338953888631,0.4701331913601987,6.1777295104028624,1.504160464406679,0.09584526382804714,0.4724125183741982
0.11258266780395706,0.6400344432160223,0.04093101344946559,0.08249158786137795,4.799401402220756,0.37628106728939764,0.20049459685083276,6.2522167786918095,0.7526171110199794,0.12342260131084354,0.49618408992499513
0.16574094635876593,0.9304035592542298,0.0386005291049104,0.07774366371522444,4.506254413093907,0.5459619086876971,0.36397276493342245,6.628677785148157,1.0961445056129957,0.11634419282013483,0.49651029113194867
0.16667211449480407,0.9324303363691459,0.024537226380895942,0.04946900770002889,2.853395941947539,0.5466034559217766,0.4500036484826033,5.023111731296794,1.09910245086395,0.07400623408092483,0.49601209973091115
0.12090949098479194,0.6834697798559668,0.038342010350328096,0.07774005881408408,4.456541466058911,0.40180599566778935,0.3995357449901738,6.1783445467220455,0.8043792708407588,0.11608206916441217,0.4932078896675817
0.07519618680080246,0.4348138352180404,0.0313891299270274,0.06305481591816767,3.6844630250425694,0.255927479881943,0.3083572465915801,4.85320171938013,0.5100100220188428,0.09444394584519507,0.49780701870201494
0.20119336962787893,1.1357692752582547,0.028587629106126326,0.056702780095220395,3.3809695948195224,0.6645266582872016,0.37176510168732657,5.839514408881531,1.3369626448861336,0.08529040920134673,0.5041662694160571
0.18240417733329553,0.9865243329239306,0.030496348082011356,0.06448551623654018,3.343368627838513,0.5794437550860293,0.36279146464988793,5.549514222150209,1.1689285102572262,0.09498186431855155,0.4729177939763604
0.19868707524507848,1.071980063926238,0.03427953460994556,0.07245163398192983,3.757251431158635,0.6292494587064277,0.4210650864371044,6.18496428406536,1.2706671391713165,0.1067311685918754,0.4731368048717193
0.0745066041494912,0.45712186954969186,0.015029901261470496,0.02778544157997921,1.9106941099496764,0.2685125968184536,0.23045740508058252,2.9841079283893452,0.5316284736991831,0.04281534284144971,0.5409272052850974
0.09634319967248013,0.5857553043815248,0.018156222881347404,0.03356142873234396,2.300028235596035,0.3436742836576177,0.44411136157466297,3.821630036496012,0.682098504054005,0.051717651613691365,0.5409848021115327
0.10057136619431392,0.5785216545941345,0.013819345131485548,0.02756671274080949,1.6043631438396377,0.33944481442645996,0.868597703464677,3.532884740391518,0.6790930207884485,0.04138605787229504,0.5013055151486208
0.06909566552137855,0.42429719711901004,0.016627656017336043,0.030816414304816863,2.0914262953895557,0.2491265704557112,0.8790383557535036,3.760428154561312,0.4933928626403886,0.047444070322152906,0.5395714067465988
0.08646575130956619,0.49682844323834086,0.043350547642855015,0.0873392352620674,5.0518073618580335,0.2922011709203165,1.3842966061041857,7.442289116335365,0.5832941945479071,0.13068978290492242,0.49634677373552344
